PROJECT,Discipline,Group Type,Hours,Employee GEN,End of Week
16FHXZ01,Digital Delivery,Engineering,4.0,000215135,2024-10-04
16FHXZ01,Digital Delivery,Engineering,8.5,000215135,2024-10-11
16FHXZ01,Digital Delivery,Engineering,5.0,000215135,2024-10-18
16FHXZ01,Digital Delivery,Engineering,1.0,000215135,2024-10-25
16FHXZ01,Digital Delivery,Engineering,1.5,000215135,2025-01-24
16FHXZ01,Architectural,Engineering,40.0,000215270,2024-10-04
16FHXZ01,Architectural,Engineering,40.0,000215270,2024-10-11
16FHXZ01,Architectural,Engineering,17.0,000215270,2024-10-18
16FHXZ01,Architectural,Engineering,40.0,000215270,2024-10-25
16FHXZ01,Architectural,Engineering,20.0,000215270,2024-11-01
16FHXZ01,Architectural,Engineering,2.0,000215270,2024-11-08
16FHXZ01,Electrical,Engineering,40.0,000218254,2024-10-04
16FHXZ01,Electrical,Engineering,17.0,000218254,2024-10-11
16FHXZ01,Electrical,Engineering,40.0,000218254,2024-10-18
16FHXZ01,Electrical,Engineering,40.0,000218254,2024-10-25
16FHXZ01,Electrical,Engineering,57.0,000218254,2024-11-08
16FHXZ01,Electrical,Engineering,31.5,000218254,2024-11-15
16FHXZ01,Electrical,Engineering,40.0,000218254,2024-11-22
16FHXZ01,Electrical,Engineering,17.0,000218254,2024-11-29
16FHXZ01,Electrical,Engineering,4.0,000218254,2024-12-06
16FHXZ01,Electrical,Engineering,11.0,000218254,2024-12-13
16FHXZ01,Electrical,Engineering,31.5,000218254,2025-02-07
16FHXZ01,Structural B&I,Engineering,15.5,000222406,2024-11-22
16FHXZ01,Architectural,Engineering,31.5,000224540,2024-10-04
16FHXZ01,Architectural,Engineering,36.5,000224540,2024-10-11
16FHXZ01,Architectural,Engineering,25.5,000224540,2024-10-18
16FHXZ01,Architectural,Engineering,12.5,000224540,2024-10-25
16FHXZ01,Architectural,Engineering,10.0,000224540,2024-11-01
16FHXZ01,Architectural,Engineering,11.5,000224540,2024-11-08
16FHXZ01,Architectural,Engineering,9.0,000224540,2024-11-15
16FHXZ01,Architectural,Engineering,6.0,000224540,2024-11-22
16FHXZ01,Architectural,Engineering,6.0,000224540,2024-11-29
16FHXZ01,Architectural,Engineering,8.0,000224540,2025-01-17
16FHXZ01,Architectural,Engineering,21.0,000224540,2025-01-31
16FHXZ01,Architectural,Engineering,14.5,000224540,2025-02-07
16FHXZ01,Electrical,Engineering,40.0,000225458,2024-10-04
16FHXZ01,Electrical,Engineering,40.0,000225458,2024-10-11
16FHXZ01,Electrical,Engineering,40.0,000225458,2024-10-18
16FHXZ01,Electrical,Engineering,38.0,000225458,2024-10-25
16FHXZ01,Electrical,Engineering,34.0,000225458,2024-11-01
16FHXZ01,Electrical,Engineering,40.0,000225458,2024-11-08
16FHXZ01,Electrical,Engineering,20.0,000225458,2024-11-15
16FHXZ01,LSS/Telecom,Engineering,40.0,000226839,2024-10-04
16FHXZ01,LSS/Telecom,Engineering,44.0,000226839,2024-10-11
16FHXZ01,LSS/Telecom,Engineering,31.0,000226839,2024-10-18
16FHXZ01,LSS/Telecom,Engineering,59.5,000226839,2024-11-01
16FHXZ01,LSS/Telecom,Engineering,40.0,000226839,2025-01-17
16FHXZ01,LSS/Telecom,Engineering,40.0,000226839,2025-01-24
16FHXZ01,LSS/Telecom,Engineering,23.0,000226839,2025-01-31
16FHXZ01,LSS/Telecom,Engineering,13.0,000226839,2025-02-07
16FHXZ01,Architectural,Engineering,40.0,000231054,2024-10-11
16FHXZ01,Instrumentation & Controls,Engineering,40.0,000232013,2024-10-04
16FHXZ01,Instrumentation & Controls,Engineering,40.0,000232013,2024-10-11
16FHXZ01,Instrumentation & Controls,Engineering,40.0,000232013,2024-10-18
16FHXZ01,Instrumentation & Controls,Engineering,15.0,000232013,2024-10-25
16FHXZ01,Project Services,Non Engineering,36.5,000233516,2024-10-04
16FHXZ01,Project Services,Non Engineering,37.0,000233516,2024-10-11
16FHXZ01,Project Services,Non Engineering,37.0,000233516,2024-10-18
16FHXZ01,Project Services,Non Engineering,38.0,000233516,2024-10-25
16FHXZ01,Project Services,Non Engineering,32.0,000233516,2024-11-01
16FHXZ01,Project Services,Non Engineering,33.0,000233516,2024-11-08
16FHXZ01,Project Services,Non Engineering,13.0,000233516,2024-11-15
16FHXZ01,Project Services,Non Engineering,27.0,000233516,2024-11-22
16FHXZ01,Project Services,Non Engineering,13.0,000233516,2024-11-29
16FHXZ01,Instrumentation & Controls,Engineering,40.0,000233524,2024-10-04
16FHXZ01,Instrumentation & Controls,Engineering,40.0,000233524,2024-10-11
16FHXZ01,Instrumentation & Controls,Engineering,40.0,000233524,2024-10-18
16FHXZ01,Instrumentation & Controls,Engineering,15.0,000233524,2024-10-25
16FHXZ01,Instrumentation & Controls,Engineering,17.0,000233524,2024-11-01
16FHXZ01,Instrumentation & Controls,Engineering,18.0,000233524,2024-11-08
16FHXZ01,Instrumentation & Controls,Engineering,4.0,000233524,2024-11-22
16FHXZ01,Electrical,Engineering,40.0,000235953,2024-10-04
16FHXZ01,Electrical,Engineering,31.5,000235953,2024-10-11
16FHXZ01,Electrical,Engineering,40.0,000235953,2024-10-18
16FHXZ01,Electrical,Engineering,40.0,000235953,2024-10-25
16FHXZ01,Electrical,Engineering,34.0,000235953,2024-11-01
16FHXZ01,Electrical,Engineering,40.0,000235953,2024-11-08
16FHXZ01,Instrumentation & Controls,Engineering,40.0,000238245,2024-10-04
16FHXZ01,Instrumentation & Controls,Engineering,40.0,000238245,2024-10-11
16FHXZ01,Instrumentation & Controls,Engineering,40.0,000238245,2024-10-18
16FHXZ01,Instrumentation & Controls,Engineering,15.0,000238245,2024-10-25
16FHXZ01,Instrumentation & Controls,Engineering,25.5,000238245,2024-11-01
16FHXZ01,Instrumentation & Controls,Engineering,17.0,000238245,2024-11-08
16FHXZ01,Instrumentation & Controls,Engineering,15.0,000238245,2024-11-15
16FHXZ01,Instrumentation & Controls,Engineering,17.0,000238245,2024-11-22
16FHXZ01,Instrumentation & Controls,Engineering,8.0,000238245,2024-12-06
16FHXZ01,Digital Delivery,Engineering,40.0,000238255,2024-10-04
16FHXZ01,Digital Delivery,Engineering,40.0,000238255,2024-10-11
16FHXZ01,Digital Delivery,Engineering,39.0,000238255,2024-10-18
16FHXZ01,Digital Delivery,Engineering,33.0,000238255,2024-10-25
16FHXZ01,Digital Delivery,Engineering,32.0,000238255,2024-11-01
16FHXZ01,Digital Delivery,Engineering,32.0,000238255,2024-11-08
16FHXZ01,Digital Delivery,Engineering,20.5,000238255,2024-11-15
16FHXZ01,Digital Delivery,Engineering,30.7,000238255,2024-11-22
16FHXZ01,Digital Delivery,Engineering,9.5,000238255,2024-11-29
16FHXZ01,Digital Delivery,Engineering,17.0,000238255,2024-12-06
16FHXZ01,Digital Delivery,Engineering,11.5,000238255,2024-12-13
16FHXZ01,Digital Delivery,Engineering,16.0,000238255,2024-12-20
16FHXZ01,Digital Delivery,Engineering,14.5,000238255,2025-01-03
16FHXZ01,Digital Delivery,Engineering,11.0,000238255,2025-01-10
16FHXZ01,Digital Delivery,Engineering,12.5,000238255,2025-01-17
16FHXZ01,Digital Delivery,Engineering,11.5,000238255,2025-01-24
16FHXZ01,Digital Delivery,Engineering,11.0,000238255,2025-01-31
16FHXZ01,Digital Delivery,Engineering,12.0,000238255,2025-02-07
16FHXZ01,Electrical,Engineering,40.0,000248209,2024-10-04
16FHXZ01,Electrical,Engineering,40.0,000248209,2024-10-11
16FHXZ01,Electrical,Engineering,40.0,000248209,2024-10-18
16FHXZ01,Electrical,Engineering,38.5,000248209,2024-10-25
16FHXZ01,Electrical,Engineering,17.0,000248209,2024-11-01
16FHXZ01,Project Services,Non Engineering,36.5,000251619,2024-10-04
16FHXZ01,Project Services,Non Engineering,38.5,000251619,2024-10-11
16FHXZ01,Project Services,Non Engineering,31.5,000251619,2024-10-18
16FHXZ01,Project Services,Non Engineering,33.0,000251619,2024-10-25
16FHXZ01,Project Services,Non Engineering,35.0,000251619,2024-11-08
16FHXZ01,Project Services,Non Engineering,24.0,000251619,2024-11-15
16FHXZ01,Project Services,Non Engineering,36.0,000251619,2024-11-22
16FHXZ01,Project Services,Non Engineering,38.0,000251619,2024-11-29
16FHXZ01,Project Services,Non Engineering,35.0,000251619,2024-12-06
16FHXZ01,Project Services,Non Engineering,24.0,000251619,2024-12-13
16FHXZ01,Project Services,Non Engineering,2.0,000251619,2024-12-20
16FHXZ01,Project Services,Non Engineering,0.5,000251619,2025-01-03
16FHXZ01,Project Services,Non Engineering,7.5,000251619,2025-01-10
16FHXZ01,Project Services,Non Engineering,3.0,000251619,2025-01-17
16FHXZ01,Project Services,Non Engineering,3.5,000251619,2025-01-24
16FHXZ01,Project Services,Non Engineering,14.0,000251619,2025-01-31
16FHXZ01,Project Services,Non Engineering,4.5,000251619,2025-02-07
16FHXZ02,Structural B&I,Engineering,1.0,000161365,2024-11-22
16FHXZ02,Electrical,Engineering,2.5,000218254,2025-01-03
16FHXZ02,Electrical,Engineering,10.5,000218254,2025-01-10
16FHXZ02,Electrical,Engineering,9.0,000218254,2025-01-17
16FHXZ02,Electrical,Engineering,28.0,000218254,2025-01-24
16FHXZ02,Electrical,Engineering,38.0,000218254,2025-01-31
16FHXZ02,Structural B&I,Engineering,3.0,000222406,2025-01-17
16FHXZ02,Architectural,Engineering,16.0,000224540,2025-01-10
16FHXZ02,Architectural,Engineering,12.0,000224540,2025-01-17
16FHXZ02,Architectural,Engineering,7.0,000224540,2025-01-24
16FHXZ02,Architectural,Engineering,8.0,000224540,2025-01-31
16FHXZ02,LSS/Telecom,Engineering,27.0,000226839,2025-02-07
16FHXZ02,Project Services,Non Engineering,3.5,000233516,2024-10-04
16FHXZ02,Project Services,Non Engineering,3.0,000233516,2024-10-11
16FHXZ02,Project Services,Non Engineering,3.0,000233516,2024-10-18
16FHXZ02,Project Services,Non Engineering,2.0,000233516,2024-10-25
16FHXZ02,Project Services,Non Engineering,2.0,000233516,2024-11-01
16FHXZ02,Project Services,Non Engineering,2.5,000233516,2024-11-08
16FHXZ02,Project Services,Non Engineering,0.5,000233516,2024-11-22
16FHXZ02,Project Services,Non Engineering,3.5,000251619,2024-10-04
16FHXZ02,Project Services,Non Engineering,1.5,000251619,2024-10-11
16FHXZ02,Project Services,Non Engineering,2.5,000251619,2024-10-18
16FHXZ02,Project Services,Non Engineering,1.0,000251619,2024-10-25
16FHXZ02,Project Services,Non Engineering,5.0,000251619,2024-11-08
16FHXZ02,Project Services,Non Engineering,7.5,000251619,2024-11-15
16FHXZ02,Project Services,Non Engineering,4.0,000251619,2024-11-22
16FHXZ02,Project Services,Non Engineering,2.0,000251619,2024-11-29
16FHXZ02,Project Services,Non Engineering,5.0,000251619,2024-12-06
16FHXZ02,Project Services,Non Engineering,6.0,000251619,2024-12-13
16FHXZ02,Project Services,Non Engineering,8.0,000251619,2024-12-20
16FHXZ02,Project Services,Non Engineering,1.5,000251619,2025-01-03
16FHXZ02,Project Services,Non Engineering,8.0,000251619,2025-01-10
16FHXZ02,Project Services,Non Engineering,7.0,000251619,2025-01-17
16FHXZ02,Project Services,Non Engineering,17.5,000251619,2025-01-24
16FHXZ02,Project Services,Non Engineering,7.0,000251619,2025-01-31
16FHXZ02,Project Services,Non Engineering,15.0,000251619,2025-02-07
16FHXZ02,Building Mechanical,Engineering,22.0,000264628,2024-12-20
16FHXZ02,Building Mechanical,Engineering,31.5,000264628,2025-01-10
16FHXZ02,Building Mechanical,Engineering,23.0,000264628,2025-01-17
